Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational  Option Type","NSLP  Provision  Status","Charter  School  (Y/N)","Charter  School  Number","Charter  Funding  Type",IRC,Low Grade,High Grade,"Enrollment  (K-12)","Free Meal  Count  (K-12)","Percent (%)  Eligible Free  (K-12)","FRPM Count  (K-12)","Percent (%)  Eligible FRPM  (K-12)","Enrollment  (Ages 5-17)","Free Meal  Count  (Ages 5-17)","Percent (%)  Eligible Free  (Ages 5-17)","FRPM Count  (Ages 5-17)","Percent (%)  Eligible FRPM  (Ages 5-17)","2013-14  CALPADS Fall 1  Certification Status"
2014-2015,37,68338,107060,San Diego,San Diego Unified,San Diego MVP Arts,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,366,254,69.4%,307,83.9%,350,242,69.1%,291,83.1%,Y
2014-2015,37,68338,107078,San Diego,San Diego Unified,Kearny Digital Media & Design,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,399,209,52.4%,264,66.2%,389,206,53%,260,66.8%,Y
2014-2015,37,68338,107086,San Diego,San Diego Unified,Kearny SCT,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,345,181,52.5%,237,68.7%,336,178,53%,233,69.3%,Y
2014-2015,37,68338,107094,San Diego,San Diego Unified,Kearny International Business,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,428,230,53.7%,297,69.4%,415,223,53.7%,288,69.4%,Y
2014-2015,37,68338,107102,San Diego,San Diego Unified,"Kearny Eng, Innov & Design",Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,322,188,58.4%,237,73.6%,320,188,58.8%,237,74.1%,Y
2014-2015,37,68338,107177,San Diego,San Diego Unified,Crawford High,Unified School District,High Schools (Public),Traditional,Provision 2,N,,,N,9,12,1161,1007,86.7%,1103,95%,1103,953,86.4%,1045,94.7%,Y
2014-2015,37,68338,107219,San Diego,San Diego Unified,San Diego Science and Technology,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,567,376,66.3%,450,79.4%,550,363,66%,435,79.1%,Y
2014-2015,37,68338,107482,San Diego,San Diego Unified,San Diego Metro Career and Tech,Unified School District,Alternative Schools of Choice,Alternative School of Choice,,N,,,N,9,12,117,32,27.4%,48,41%,116,32,27.6%,48,41.4%,Y
2014-2015,37,68338,107573,San Diego,San Diego Unified,High Tech Middle Media Arts,Unified School District,Intermediate/Middle Schools (Public),Traditional,,Y,660,Directly funded,Y,6,8,316,100,31.6%,147,46.5%,316,100,31.6%,147,46.5%,Y
2014-2015,37,68338,108266,San Diego,San Diego Unified,Golden Hill K-8,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,8,422,325,77%,385,91.2%,418,322,77%,381,91.1%,Y
2014-2015,37,68338,108274,San Diego,San Diego Unified,Porter Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,6,1064,902,84.8%,1009,94.8%,1040,880,84.6%,985,94.7%,Y
2014-2015,37,68338,108282,San Diego,San Diego Unified,Cherokee Point Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,5,476,411,86.3%,448,94.1%,465,402,86.5%,437,94%,Y
2014-2015,37,68338,108290,San Diego,San Diego Unified,Ibarra Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,5,521,463,88.9%,505,96.9%,515,457,88.7%,499,96.9%,Y
2014-2015,37,68338,108548,San Diego,San Diego Unified,Iftin Charter,Unified School District,Elementary Schools (Public),Traditional,Provision 2,Y,680,Directly funded,N,K,8,476,454,95.4%,466,97.9%,474,452,95.4%,464,97.9%,Y
2014-2015,37,68338,108787,San Diego,San Diego Unified,High Tech High Media Arts,Unified School District,High Schools (Public),Traditional,,Y,622,Directly funded,Y,9,12,400,128,32%,196,49%,383,123,32.1%,189,49.3%,Y
2014-2015,37,68338,109033,San Diego,San Diego Unified,King-Chavez Arts Academy,Unified School District,Elementary Schools (Public),Traditional,,Y,704,Directly funded,N,3,5,188,175,93.1%,180,95.7%,188,175,93.1%,180,95.7%,Y
2014-2015,37,68338,109041,San Diego,San Diego Unified,King-Chavez Athletics Academy,Unified School District,Elementary Schools (Public),Traditional,,Y,706,Directly funded,N,3,5,185,170,91.9%,178,96.2%,185,170,91.9%,178,96.2%,Y
2014-2015,37,68338,109157,San Diego,San Diego Unified,Magnolia Science Academy San Diego,Unified School District,Intermediate/Middle Schools (Public),Traditional,,Y,698,Directly funded,Y,6,8,371,49,13.2%,78,21%,371,49,13.2%,78,21%,Y
2014-2015,37,68338,111864,San Diego,San Diego Unified,Normal Heights Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,5,316,248,78.5%,294,93%,305,239,78.4%,284,93.1%,Y
2014-2015,37,68338,111898,San Diego,San Diego Unified,Albert Einstein Academy Charter Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,Y,773,Directly funded,N,6,8,477,188,39.4%,246,51.6%,477,188,39.4%,246,51.6%,Y
2014-2015,37,68338,111906,San Diego,San Diego Unified,King-Chavez Preparatory Academy,Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,Y,772,Directly funded,N,6,8,355,340,95.8%,355,100%,355,340,95.8%,355,100%,Y
2014-2015,37,68338,114025,San Diego,San Diego Unified,Lincoln High,Unified School District,High Schools (Public),Traditional,Provision 2,N,,,N,9,12,1516,1121,73.9%,1269,83.7%,1433,1063,74.2%,1202,83.9%,Y
2014-2015,37,68338,114033,San Diego,San Diego Unified,Rodriguez Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,5,602,531,88.2%,582,96.7%,592,522,88.2%,573,96.8%,Y
2014-2015,37,68338,114041,San Diego,San Diego Unified,Joyner Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,5,721,570,79.1%,662,91.8%,703,557,79.2%,645,91.7%,Y
2014-2015,37,68338,114462,San Diego,San Diego Unified,Health Sciences High,Unified School District,High Schools (Public),Traditional,,Y,876,Directly funded,Y,10,12,569,349,61.3%,421,74%,562,344,61.2%,415,73.8%,Y
2014-2015,37,68338,114520,San Diego,San Diego Unified,Arroyo Paseo Charter High,Unified School District,High Schools (Public),Traditional,Provision 2,Y,881,Directly funded,N,9,12,140,86,61.4%,90,64.3%,132,83,62.9%,87,65.9%,Y
2014-2015,37,68338,116939,San Diego,San Diego Unified,Innovation Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,7,8,434,219,50.5%,272,62.7%,434,219,50.5%,272,62.7%,Y
2014-2015,37,68338,117325,San Diego,San Diego Unified,Millennial Tech Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,N,,,N,6,8,467,340,72.8%,401,85.9%,467,340,72.8%,401,85.9%,Y
2014-2015,37,68338,117333,San Diego,San Diego Unified,Memorial Scholars & Athletes,Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,N,,,N,6,8,413,375,90.8%,398,96.4%,413,375,90.8%,398,96.4%,Y
2014-2015,37,68338,118000,San Diego,San Diego Unified,Urban Discovery Academy Charter,Unified School District,Elementary Schools (Public),Traditional,,Y,1008,Directly funded,N,K,8,351,64,18.2%,87,24.8%,351,64,18.2%,87,24.8%,Y
2014-2015,37,68338,118083,San Diego,San Diego Unified,Innovations Academy,Unified School District,Elementary Schools (Public),Traditional,,Y,1024,Directly funded,N,K,8,350,60,17.1%,92,26.3%,350,60,17.1%,92,26.3%,Y
2014-2015,37,68338,118315,San Diego,San Diego Unified,San Diego Early/Middle College,Unified School District,Alternative Schools of Choice,Alternative School of Choice,Provision 2,N,,,N,9,12,110,78,70.9%,95,86.4%,109,78,71.6%,94,86.2%,Y
2014-2015,37,68338,118851,San Diego,San Diego Unified,King-Chavez Community High,Unified School District,High Schools (Public),Traditional,Provision 2,Y,1015,Directly funded,N,9,12,614,382,62.2%,389,63.4%,590,370,62.7%,377,63.9%,Y
2014-2015,37,68338,119610,San Diego,San Diego Unified,Gompers Preparatory Academy,Unified School District,High Schools (Public),Traditional,Provision 2,Y,1080,Directly funded,N,6,12,1143,912,79.8%,1059,92.7%,1129,900,79.7%,1046,92.6%,Y
2014-2015,37,68338,120410,San Diego,San Diego Unified,iHigh Virtual Academy,Unified School District,Alternative Schools of Choice,Alternative School of Choice,,N,,,N,9,12,40,10,25%,14,35%,38,9,23.7%,12,31.6%,Y
2014-2015,37,68338,121145,San Diego,San Diego Unified,Evangeline Roberts Institute of Learning,Unified School District,Elementary Schools (Public),Traditional,,Y,1151,Directly funded,N,K,6,164,129,78.7%,138,84.1%,163,128,78.5%,137,84%,Y
2014-2015,37,68338,121681,San Diego,San Diego Unified,San Diego Global Vision Academy,Unified School District,Elementary Schools (Public),Traditional,,Y,1190,Directly funded,N,K,5,228,104,45.6%,153,67.1%,220,102,46.4%,149,67.7%,Y
2014-2015,37,68338,122788,San Diego,San Diego Unified,Coleman Tech Charter High,Unified School District,High Schools (Public),Traditional,,Y,1253,Directly funded,N,9,12,221,81,36.7%,85,38.5%,213,78,36.6%,81,38%,Y
2014-2015,37,68338,123778,San Diego,San Diego Unified,Old Town Academy K-8 Charter,Unified School District,Elementary Schools (Public),Traditional,,Y,1279,Directly funded,N,K,8,251,12,4.8%,15,6%,251,12,4.8%,15,6%,Y
2014-2015,37,68338,124115,San Diego,San Diego Unified,Knox Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,N,,,N,6,8,580,473,81.6%,520,89.7%,580,473,81.6%,520,89.7%,Y
2014-2015,37,68338,124206,San Diego,San Diego Unified,America's Finest Charter,Unified School District,Elementary Schools (Public),Traditional,Provision 2,Y,1301,Directly funded,N,K,8,255,233,91.4%,242,94.9%,253,231,91.3%,240,94.9%,Y
2014-2015,37,68338,124347,San Diego,San Diego Unified,City Heights Preparatory Charter,Unified School District,K-12 Schools (Public),Traditional,Provision 2,Y,1312,Directly funded,N,6,12,114,113,99.1%,114,100%,114,113,99.1%,114,100%,Y
2014-2015,37,68338,125583,San Diego,San Diego Unified,San Diego Global Vision Academy Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,Y,1384,Directly funded,N,6,8,86,43,50%,61,70.9%,86,43,50%,61,70.9%,Y
2014-2015,37,68338,126151,San Diego,San Diego Unified,Epiphany Prep Charter,Unified School District,Elementary Schools (Public),Traditional,Provision 2,Y,1426,Directly funded,N,K,8,254,171,67.3%,198,78%,254,171,67.3%,198,78%,Y
2014-2015,37,68338,126730,San Diego,San Diego Unified,Kavod Elementary Charter,Unified School District,Elementary Schools (Public),Traditional,,Y,1447,Directly funded,N,K,5,92,16,17.4%,25,27.2%,91,16,17.6%,25,27.5%,Y
2014-2015,37,68338,126938,San Diego,San Diego Unified,Home & Hosp/Transition Support,Unified School District,K-12 Schools (Public),Home and Hospital,,N,,,N,K,12,86,62,72.1%,64,74.4%,79,55,69.6%,57,72.2%,Y
2014-2015,37,68338,127647,San Diego,San Diego Unified,e3 Civic High,Unified School District,High Schools (Public),Traditional,,Y,1302,Directly funded,N,9,12,343,206,60.1%,244,71.1%,343,206,60.1%,244,71.1%,Y
2014-2015,37,68338,127654,San Diego,San Diego Unified,San Diego Cooperative Charter School 2,Unified School District,Elementary Schools (Public),Traditional,,Y,1510,Directly funded,N,K,8,157,46,29.3%,57,36.3%,145,45,31%,55,37.9%,Y
2014-2015,37,68338,128066,San Diego,San Diego Unified,Health Sciences Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,Y,1517,Directly funded,Y,6,9,150,61,40.7%,79,52.7%,150,61,40.7%,79,52.7%,Y
2014-2015,37,68338,128744,San Diego,San Diego Unified,Laurel Preparatory Academy,Unified School District,K-12 Schools (Public),Traditional,,Y,1600,Directly funded,Y,6,12,141,58,41.1%,76,53.9%,110,44,40%,57,51.8%,Y
2014-2015,37,68338,129387,San Diego,San Diego Unified,Empower Charter,Unified School District,Elementary Schools (Public),Traditional,,Y,1634,Directly funded,Y,K,6,68,39,57.4%,51,75%,58,33,56.9%,44,75.9%,Y
2014-2015,37,68338,129395,San Diego,San Diego Unified,Elevate Elementary,Unified School District,Elementary Schools (Public),Traditional,,Y,1633,Directly funded,Y,K,5,165,27,16.4%,84,50.9%,165,27,16.4%,84,50.9%,Y
2014-2015,37,68338,3730116,San Diego,San Diego Unified,John Muir,Unified School District,K-12 Schools (Public),Traditional,,N,,,N,K,12,340,140,41.2%,185,54.4%,338,140,41.4%,184,54.4%,Y
2014-2015,37,68338,3730173,San Diego,San Diego Unified,Serra High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,1796,650,36.2%,1030,57.3%,1765,636,36%,1011,57.3%,Y
2014-2015,37,68338,3730181,San Diego,San Diego Unified,Mira Mesa High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,2453,732,29.8%,1104,45%,2386,701,29.4%,1063,44.6%,Y
2014-2015,37,68338,3730231,San Diego,San Diego Unified,Twain High,Unified School District,Continuation High Schools,Continuation School,,N,,,N,7,12,214,148,69.2%,171,79.9%,170,117,68.8%,139,81.8%,Y
2014-2015,37,68338,3730314,San Diego,San Diego Unified,University City High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,1758,480,27.3%,682,38.8%,1733,469,27.1%,669,38.6%,Y
2014-2015,37,68338,3730363,San Diego,San Diego Unified,Whittier K-12,Unified School District,K-12 Schools (Public),Opportunity School,,N,,,N,K,12,41,20,48.8%,29,70.7%,41,20,48.8%,29,70.7%,Y
2014-2015,37,68338,3730371,San Diego,San Diego Unified,San Diego SCPA,Unified School District,High Schools (Public),Traditional,,N,,,N,6,12,1375,521,37.9%,761,55.3%,1359,518,38.1%,758,55.8%,Y
2014-2015,37,68338,3730751,San Diego,San Diego Unified,Mt. Everest Academy,Unified School District,Alternative Schools of Choice,Alternative School of Choice,,N,,,N,K,12,282,34,12.1%,57,20.2%,279,34,12.2%,57,20.4%,Y
2014-2015,37,68338,3730884,San Diego,San Diego Unified,Scripps Ranch High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,2232,274,12.3%,384,17.2%,2184,266,12.2%,374,17.1%,Y
2014-2015,37,68338,3730959,San Diego,San Diego Unified,Charter School of San Diego,Unified School District,High Schools (Public),Traditional,,Y,28,Directly funded,Y,7,12,2187,1269,58%,1537,70.3%,1690,986,58.3%,1192,70.5%,Y
2014-2015,37,68338,3731056,San Diego,San Diego Unified,TRACE,Unified School District,Special Education Schools (Public),Special Education School,,N,,,N,9,12,485,249,51.3%,302,62.3%,7,3,42.9%,4,57.1%,Y
2014-2015,37,68338,3731130,San Diego,San Diego Unified,ALBA,Unified School District,District Community Day Schools,Community Day School,,N,,,N,1,12,24,19,79.2%,19,79.2%,24,19,79.2%,19,79.2%,Y
2014-2015,37,68338,3731189,San Diego,San Diego Unified,Preuss School UCSD,Unified School District,High Schools (Public),Traditional,Provision 2,Y,169,Directly funded,Y,6,12,846,646,76.4%,807,95.4%,844,644,76.3%,805,95.4%,Y
2014-2015,37,68338,3731213,San Diego,San Diego Unified,Clairemont High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,1067,483,45.3%,609,57.1%,1033,469,45.4%,590,57.1%,Y
2014-2015,37,68338,3731247,San Diego,San Diego Unified,High Tech High,Unified School District,High Schools (Public),Traditional,,Y,269,Directly funded,Y,9,12,589,108,18.3%,181,30.7%,576,105,18.2%,176,30.6%,Y
2014-2015,37,68338,3731395,San Diego,San Diego Unified,Audeo Charter,Unified School District,High Schools (Public),Traditional,,Y,406,Directly funded,Y,6,12,759,397,52.3%,506,66.7%,575,301,52.3%,380,66.1%,Y
2014-2015,37,68338,3731551,San Diego,San Diego Unified,"Creative, Performing, and Media Arts",Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,920,536,58.3%,697,75.8%,920,536,58.3%,697,75.8%,Y
2014-2015,37,68338,3732781,San Diego,San Diego Unified,Henry High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,2437,667,27.4%,950,39%,2397,656,27.4%,932,38.9%,Y
2014-2015,37,68338,3732997,San Diego,San Diego Unified,Hoover High,Unified School District,High Schools (Public),Traditional,Provision 2,N,,,N,9,12,2019,1671,82.8%,1905,94.4%,1937,1600,82.6%,1826,94.3%,Y
2014-2015,37,68338,3733508,San Diego,San Diego Unified,La Jolla High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,1588,308,19.4%,408,25.7%,1552,301,19.4%,400,25.8%,Y
2014-2015,37,68338,3733698,San Diego,San Diego Unified,Madison High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,1161,525,45.2%,739,63.7%,1126,505,44.8%,714,63.4%,Y
2014-2015,37,68338,3734431,San Diego,San Diego Unified,Mission Bay High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,1101,596,54.1%,756,68.7%,1066,578,54.2%,737,69.1%,Y
2014-2015,37,68338,3734654,San Diego,San Diego Unified,Morse High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,1808,1115,61.7%,1445,79.9%,1769,1085,61.3%,1414,79.9%,Y
2014-2015,37,68338,3735750,San Diego,San Diego Unified,Point Loma High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,1880,548,29.1%,750,39.9%,1848,538,29.1%,738,39.9%,Y
2014-2015,37,68338,3737962,San Diego,San Diego Unified,Garfield High,Unified School District,Continuation High Schools,Continuation School,Provision 2,N,,,N,9,12,195,141,72.3%,162,83.1%,121,91,75.2%,103,85.1%,Y
2014-2015,37,68338,6039101,San Diego,San Diego Unified,Adams Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,5,329,248,75.4%,301,91.5%,316,239,75.6%,290,91.8%,Y
2014-2015,37,68338,6039119,San Diego,San Diego Unified,Alcott Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,189,75,39.7%,96,50.8%,187,75,40.1%,96,51.3%,Y
2014-2015,37,68338,6039135,San Diego,San Diego Unified,Angier Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,574,213,37.1%,374,65.2%,564,207,36.7%,368,65.2%,Y
2014-2015,37,68338,6039143,San Diego,San Diego Unified,Audubon K-8,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,8,459,340,74.1%,412,89.8%,453,334,73.7%,406,89.6%,Y
2014-2015,37,68338,6039150,San Diego,San Diego Unified,Baker Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,5,486,416,85.6%,455,93.6%,473,407,86%,446,94.3%,Y
2014-2015,37,68338,6039168,San Diego,San Diego Unified,Balboa Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,5,546,470,86.1%,509,93.2%,530,458,86.4%,496,93.6%,Y
2014-2015,37,68338,6039184,San Diego,San Diego Unified,Barnard Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,416,119,28.6%,177,42.5%,403,115,28.5%,171,42.4%,Y
2014-2015,37,68338,6039200,San Diego,San Diego Unified,Bay Park Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,433,81,18.7%,113,26.1%,418,81,19.4%,112,26.8%,Y
2014-2015,37,68338,6039242,San Diego,San Diego Unified,Bird Rock Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,520,19,3.7%,30,5.8%,516,19,3.7%,30,5.8%,Y
2014-2015,37,68338,6039259,San Diego,San Diego Unified,Birney Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,565,243,43%,295,52.2%,552,238,43.1%,290,52.5%,Y
2014-2015,37,68338,6039267,San Diego,San Diego Unified,Boone Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,5,523,332,63.5%,432,82.6%,506,319,63%,416,82.2%,Y
2014-2015,37,68338,6039283,San Diego,San Diego Unified,Burbank Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,5,399,351,88%,388,97.2%,393,345,87.8%,382,97.2%,Y
2014-2015,37,68338,6039291,San Diego,San Diego Unified,Cabrillo Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,4,196,92,46.9%,121,61.7%,189,88,46.6%,117,61.9%,Y
2014-2015,37,68338,6039309,San Diego,San Diego Unified,Cadman Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,183,87,47.5%,111,60.7%,179,86,48%,110,61.5%,Y
2014-2015,37,68338,6039341,San Diego,San Diego Unified,Carson Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,5,474,408,86.1%,458,96.6%,468,403,86.1%,452,96.6%,Y
2014-2015,37,68338,6039358,San Diego,San Diego Unified,Carver Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,5,250,192,76.8%,231,92.4%,239,185,77.4%,223,93.3%,Y
2014-2015,37,68338,6039366,San Diego,San Diego Unified,Central Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,5,784,707,90.2%,773,98.6%,768,694,90.4%,757,98.6%,Y
2014-2015,37,68338,6039374,San Diego,San Diego Unified,Chesterton Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,485,158,32.6%,284,58.6%,474,153,32.3%,278,58.6%,Y
2014-2015,37,68338,6039382,San Diego,San Diego Unified,Chollas/Mead Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,5,641,519,81%,613,95.6%,620,505,81.5%,595,96%,Y
2014-2015,37,68338,6039390,San Diego,San Diego Unified,Clay Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,5,318,217,68.2%,271,85.2%,310,213,68.7%,265,85.5%,Y
2014-2015,37,68338,6039424,San Diego,San Diego Unified,Crown Point Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,398,176,44.2%,242,60.8%,393,174,44.3%,239,60.8%,Y
2014-2015,37,68338,6039432,San Diego,San Diego Unified,Cubberley Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,165,59,35.8%,85,51.5%,161,57,35.4%,83,51.6%,Y
2014-2015,37,68338,6039440,San Diego,San Diego Unified,Curie Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,571,46,8.1%,68,11.9%,558,46,8.2%,68,12.2%,Y
2014-2015,37,68338,6039457,San Diego,San Diego Unified,Darnall Charter,Unified School District,Elementary Schools (Public),Traditional,Provision 2,Y,33,Directly funded,N,K,8,639,508,79.5%,552,86.4%,638,507,79.5%,551,86.4%,Y
2014-2015,37,68338,6039481,San Diego,San Diego Unified,Dewey Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,4,354,147,41.5%,244,68.9%,334,137,41%,229,68.6%,Y
2014-2015,37,68338,6039499,San Diego,San Diego Unified,Edison Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,5,575,503,87.5%,558,97%,566,497,87.8%,550,97.2%,Y
2014-2015,37,68338,6039507,San Diego,San Diego Unified,Emerson/Bandini Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,6,586,521,88.9%,560,95.6%,572,509,89%,547,95.6%,Y
2014-2015,37,68338,6039515,San Diego,San Diego Unified,Encanto Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,5,504,420,83.3%,481,95.4%,485,404,83.3%,464,95.7%,Y
2014-2015,37,68338,6039523,San Diego,San Diego Unified,Euclid Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,5,536,484,90.3%,522,97.4%,521,471,90.4%,509,97.7%,Y
2014-2015,37,68338,6039556,San Diego,San Diego Unified,Field Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,6,281,208,74%,246,87.5%,274,204,74.5%,241,88%,Y
2014-2015,37,68338,6039564,San Diego,San Diego Unified,Fletcher Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,243,108,44.4%,150,61.7%,237,106,44.7%,148,62.4%,Y
2014-2015,37,68338,6039572,San Diego,San Diego Unified,Florence Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,262,152,58%,202,77.1%,250,144,57.6%,193,77.2%,Y
2014-2015,37,68338,6039598,San Diego,San Diego Unified,Foster Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,367,150,40.9%,204,55.6%,362,149,41.2%,203,56.1%,Y
2014-2015,37,68338,6039606,San Diego,San Diego Unified,Franklin Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,5,287,199,69.3%,242,84.3%,276,191,69.2%,234,84.8%,Y
2014-2015,37,68338,6039614,San Diego,San Diego Unified,Freese Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,5,295,194,65.8%,261,88.5%,286,189,66.1%,253,88.5%,Y
2014-2015,37,68338,6039630,San Diego,San Diego Unified,Fulton K-8,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,8,418,312,74.6%,357,85.4%,409,304,74.3%,349,85.3%,Y
2014-2015,37,68338,6039648,San Diego,San Diego Unified,Gage Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,457,181,39.6%,231,50.5%,439,177,40.3%,224,51%,Y
2014-2015,37,68338,6039655,San Diego,San Diego Unified,Garfield Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,5,321,236,73.5%,297,92.5%,316,232,73.4%,292,92.4%,Y
2014-2015,37,68338,6039671,San Diego,San Diego Unified,Grant K-8,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,8,718,148,20.6%,184,25.6%,705,145,20.6%,181,25.7%,Y
2014-2015,37,68338,6039697,San Diego,San Diego Unified,Green Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,517,111,21.5%,167,32.3%,506,110,21.7%,165,32.6%,Y
2014-2015,37,68338,6039705,San Diego,San Diego Unified,Hamilton Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,5,524,458,87.4%,508,96.9%,511,445,87.1%,495,96.9%,Y
2014-2015,37,68338,6039713,San Diego,San Diego Unified,Hardy Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,408,121,29.7%,195,47.8%,402,121,30.1%,193,48%,Y
2014-2015,37,68338,6039721,San Diego,San Diego Unified,Hawthorne Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,6,296,155,52.4%,220,74.3%,291,154,52.9%,216,74.2%,Y
2014-2015,37,68338,6039739,San Diego,San Diego Unified,Hearst Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,497,66,13.3%,89,17.9%,485,65,13.4%,88,18.1%,Y
2014-2015,37,68338,6039747,San Diego,San Diego Unified,Holmes Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,522,74,14.2%,115,22%,511,74,14.5%,114,22.3%,Y
2014-2015,37,68338,6039754,San Diego,San Diego Unified,Horton Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,5,478,419,87.7%,467,97.7%,465,407,87.5%,454,97.6%,Y
2014-2015,37,68338,6039762,San Diego,San Diego Unified,Fay Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,5,726,651,89.7%,708,97.5%,705,631,89.5%,687,97.4%,Y
2014-2015,37,68338,6039770,San Diego,San Diego Unified,Jefferson Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,5,365,259,71%,305,83.6%,348,249,71.6%,292,83.9%,Y
